gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_per_tenure
0,0,1,0,-1.2802480369298874,0,1,0,0,2,0,0,0,0,0,1,2,-1.1616939352451685,-0.9941940877241976,0,0.7765636494224474
1,0,0,0,0.0643026851883519,1,0,0,2,0,2,0,0,0,1,0,3,-0.2608779199297493,-0.1737398182504072,0,-2.70190611389708
1,0,0,0,-1.2395040756535771,1,0,0,2,2,0,0,0,0,0,1,3,-0.3639232943754246,-0.9596491092068434,1,0.7742202127902087
1,0,0,0,0.512486259227765,0,1,0,2,0,2,2,0,0,1,0,0,-0.747850415293989,-0.1952477071740473,0,-0.38098135054050897
0,0,0,0,-1.2395040756535771,1,0,1,0,0,0,0,0,0,0,1,2,0.1961781764018748,-0.94045745447498,1,0.7587368794887479
0,0,0,0,-0.9950403079957154,1,2,1,0,0,2,0,2,2,0,1,2,1.1584890119510036,-0.6453692184426381,1,0.6485860052670519
1,0,0,1,-0.4246248501273714,1,2,1,0,2,0,0,2,0,0,1,1,0.8078023344020117,-0.1473126890908986,0,0.346924324016153
0,0,0,0,-0.9135523854430948,0,1,0,2,0,0,0,0,0,0,0,3,-1.1650179795821258,-0.8741690378436584,0,0.95688988587082
0,0,1,0,-0.1801610824695097,1,2,1,0,0,2,2,2,2,0,1,2,1.3296772953043026,0.3365155445113557,1,-1.8678592507252905
1,0,0,1,1.2051336009250395,1,0,0,2,2,0,0,0,0,1,0,0,-0.2874702746254075,0.5314762853391823,0,0.44101026220763445
1,0,1,1,-0.791320501614164,1,0,0,2,0,0,0,0,0,0,1,3,-0.4935610235167579,-0.7481879571842651,0,0.9454929521705611
1,0,0,0,-0.6690886177852331,1,0,2,1,1,1,1,1,1,2,0,1,-1.5240147679735103,-0.8631834699626608,0,1.2900884083485173
